 Alternative                   , Attribute           , Parameter                                                        ,   Value ,   St-Err ,   P-value ,   T-value 
 Net/Mesh cloth                , Shape               , Oval                                                             ,0.165,0.112,0.139,1.48
 Net/Mesh cloth                , Shape               , Rectangle                                                        ,0.174,0.127,0.17,1.37
 Net/Mesh cloth                , Shape               , Round                                                            ,0.023,0.109,0.836,0.21
 Net/Mesh cloth                , Shape               , Smiley                                                           ,0.096,0.113,0.394,0.85
 Net/Mesh cloth                , Shape               , Square                                                           ,0.283,0.123,0.022,2.3
 Net/Mesh cloth                , Shape               , Tear drop                                                        ,0.046,0.104,0.657,0.44
 Net/Mesh cloth                , Shape               , Wave                                                             ,0.264,0.13,0.043,2.03
 Scrub Pad                     , Brand               , Byulpyo                                                          ,0,0,1,0
 Scrub Pad                     , Brand               , Cleanwrap                                                        ,0.078,0.088,0.374,0.89
 Scrub Pad                     , Brand               , Daiso                                                            ,0,0,1,0
 Scrub Pad                     , Brand               , Frog                                                             ,-0.127,0.091,0.166,-1.39
 Scrub Pad                     , Brand               , No Brand                                                         ,0,0,1,0
 Scrub Pad                     , Brand               , Scotch-Brite by 3M                                               ,0.351,0.12,0.003,2.93
 Scrub Pad                     , Brand               , Scott (Yuhan-Kimberly                                            ,-0.07,0.087,0.419,-0.81
 Scrub Pad                     , Brand               , Spontex                                                          ,0,0,1,0
 Scrub Pad                     , Cleaning strength   , Extra tough/ extra heavy duty                                    ,0.094,0.073,0.203,1.27
 Scrub Pad                     , Cleaning strength   , Gentle/ delicate cleaning                                        ,0.153,0.077,0.045,2
 Scrub Pad                     , Cleaning strength   , Tough Cleaning/ Heavy duty                                       ,0.16,0.078,0.039,2.06
 Scrub Pad                     , Surface types       , Cast Iron (Cookware/Grills/etc                                   ,0.068,0.093,0.464,0.73
 Scrub Pad                     , Surface types       , Everyday dishware & utensils                                     ,0,0,1,0
 Scrub Pad                     , Surface types       , Glass (Cooktop                                                   ,0.035,0.091,0.7,0.39
 Scrub Pad                     , Surface types       ," Non-Stick/Ceramic (Cookware, Dishware, etc                       ",-0.095,0.087,0.274,-1.09
 Scrub Pad                     , Surface types       ," Plastic (Dishware, Utensils, etc                                 ",0.187,0.099,0.058,1.89
 Scrub Pad                     , Surface types       ," Porcelain (Dishware, premium crockery, sink, etc                 ",-0.065,0.089,0.466,-0.73
 Scrub Pad                     , Surface types       , Stainless Steel (Cooktop                                         ,0,0,1,0
 Scrub Pad                     , Surface types       , Stainless Steel (Outdoor camping/BBQ                             ,-0.055,0.082,0.5,-0.67
 Scrub Pad                     , Surface types       , Stainless Steel (Sink /Cookware                                  ,0,0,1,0
 Scrub Pad                     , Surface types       , Suitable for use across most surface types                       ,0,0,1,0
 Scrub Pad                     , Stain types         , Effective at removing different stuck on and oily stains         ,-0.138,0.091,0.13,-1.51
 Scrub Pad                     , Stain types         , Good at removing heavy oil stains                                ,-0.063,0.089,0.479,-0.71
 Scrub Pad                     , Stain types         , Good at removing light (non-oily                                 ,0,0,1,0
 Scrub Pad                     , Stain types         , Good at removing light oil stains                                ,-0.094,0.091,0.302,-1.03
 Scrub Pad                     , Stain types         , Good at removing sticky stains                                   ,-0.088,0.09,0.324,-0.99
 Scrub Pad                     , Stain types         , Good at removing stubborn burnt stains                           ,-0.111,0.088,0.208,-1.26
 Scrub Pad                     , Stain types         , Good at removing tea/coffee stains                               ,-0.091,0.094,0.329,-0.98
 Scrub Pad                     , Benefit             , Antibacterial/Prevent bacterial growth                           ,0.261,0.115,0.023,2.27
 Scrub Pad                     , Benefit             , Antimicrobial/Prevent mold & odor                                ,-0.138,0.1,0.166,-1.39
 Scrub Pad                     , Benefit             , Durable/long lasting                                             ,0.033,0.105,0.753,0.32
 Scrub Pad                     , Benefit             , Easy to grip                                                     ,0.039,0.089,0.662,0.44
 Scrub Pad                     , Benefit             , Easy to reach and clean tight corners and grooves                ,0,0,1,0
 Scrub Pad                     , Benefit             , Easy to rinse clean after use (food doesn't get stuck            ,0,0,1,0
 Scrub Pad                     , Benefit             , Foam well with a small amount of detergent                       ,0.242,0.113,0.033,2.14
 Scrub Pad                     , Benefit             , Stain resistant                                                  ,0,0,1,0
 Scrub Pad                     , Benefit             , Will not scratch or damage cleaning surfaces                     ,0.178,0.109,0.104,1.63
 Scrub Pad                     , Claim               , Convenient as no soap required (infused with  cleaning detergent ,0.327,0.148,0.028,2.2
 Scrub Pad                     , Claim               , Create a shiny finish after use                                  ,0,0,1,0
 Scrub Pad                     , Claim               , Eco-friendly/Good for the environment                            ,0.022,0.105,0.835,0.21
 Scrub Pad                     , Claim               , Fun designs/ shapes to elevate your mood                         ,0.147,0.115,0.202,1.28
 Scrub Pad                     , Claim               , Guarantee satisfaction after use                                 ,-0.091,0.101,0.369,-0.9
 Scrub Pad                     , Claim               , Keeps your family safe                                           ,0.146,0.115,0.206,1.26
 Scrub Pad                     , Claim               ," Make cleaning a breeze, saves time to do the things you love     ",0.097,0.107,0.362,0.91
 Scrub Pad                     , Claim               , Scented (emits pleasant scent while cleaning                     ,0.374,0.152,0.014,2.46
 Scrub Pad                     , Claim               , Transform cleaning into a fun experience with foamy bubble       ,0.097,0.106,0.36,0.91
 Scrub Pad                     , Material            , 100% Recycled PET plastic                                        ,0.121,0.104,0.245,1.16
 Scrub Pad                     , Material            , Flexible foam (texture changes with water temperature            ,-0.137,0.091,0.132,-1.51
 Scrub Pad                     , Material            ," Man-made fibre (e.g., polyester                                  ",0.169,0.098,0.087,1.71
 Scrub Pad                     , Material            , Melamine foam (magic eraser                                      ,0.126,0.086,0.142,1.47
 Scrub Pad                     , Material            , Natural cellulose sponge                                         ,0,0,1,0
 Scrub Pad                     , Material            , Natural coconut based fibre                                      ,0,0,1,0
 Scrub Pad                     , Material            , Natural corn based fibre                                         ,0.078,0.088,0.377,0.88
 Scrub Pad                     , Material            , Stay Fresh foam (foam that resist stains and odors               ,0,0,1,0
 Scrub Pad                     , Price               ,                                                                  ,-0.078,0.034,0.023,-2.28
 Scrub Pad                     , Color               , Beige/Brown                                                      ,-0.265,0.112,0.018,-2.36
 Scrub Pad                     , Color               , Black                                                            ,0.084,0.1,0.403,0.84
 Scrub Pad                     , Color               , Blue                                                             ,-0.06,0.107,0.577,-0.56
 Scrub Pad                     , Color               , Dark Green                                                       ,-0.132,0.1,0.187,-1.32
 Scrub Pad                     , Color               , Green                                                            ,-0.115,0.099,0.245,-1.16
 Scrub Pad                     , Color               , Orange                                                           ,-0.173,0.097,0.075,-1.78
 Scrub Pad                     , Color               , Pink                                                             ,0,0,1,0
 Scrub Pad                     , Color               , Purple                                                           ,-0.293,0.116,0.012,-2.52
 Scrub Pad                     , Color               , White                                                            ,0.061,0.093,0.511,0.66
 Scrub Pad                     , Color               , Yellow                                                           ,0,0,1,0
 Scrub Pad                     , Shape               , Flower                                                           ,0.328,0.131,0.012,2.51
 Scrub Pad                     , Shape               , Leaf                                                             ,0.208,0.103,0.043,2.02
 Scrub Pad                     , Shape               , Oval                                                             ,0.247,0.112,0.027,2.21
 Scrub Pad                     , Shape               , Rectangle                                                        ,0.28,0.112,0.012,2.5
 Scrub Pad                     , Shape               , Round                                                            ,0,0,1,0
 Scrub Pad                     , Shape               , Smiley                                                           ,0.12,0.096,0.214,1.24
 Scrub Pad                     , Shape               , Square                                                           ,0.104,0.089,0.242,1.17
 Scrub Pad                     , Shape               , Tear drop                                                        ,0,0,1,0
 Scrub Pad                     , Shape               , Wave                                                             ,0.108,0.091,0.237,1.18
 Scrub Sponge                  , Brand               , Byulpyo                                                          ,-0.366,0.104,0,-3.52
 Scrub Sponge                  , Brand               , Cleanwrap                                                        ,-0.176,0.083,0.035,-2.11
 Scrub Sponge                  , Brand               , Daiso                                                            ,-0.061,0.078,0.435,-0.78
 Scrub Sponge                  , Brand               , Frog                                                             ,-0.174,0.081,0.031,-2.15
 Scrub Sponge                  , Brand               , No Brand                                                         ,-0.318,0.099,0.001,-3.23
 Scrub Sponge                  , Brand               , Scotch-Brite by 3M                                               ,0.183,0.082,0.026,2.23
 Scrub Sponge                  , Brand               , Scott (Yuhan-Kimberly                                            ,-0.064,0.079,0.416,-0.81
 Scrub Sponge                  , Brand               , Spontex                                                          ,0,0,1,0
 Scrub Sponge                  , Cleaning strength   , Extra tough/ extra heavy duty                                    ,0,0,1,0
 Scrub Sponge                  , Cleaning strength   , Gentle/ delicate cleaning                                        ,-0.045,0.052,0.387,-0.87
 Scrub Sponge                  , Cleaning strength   , Tough Cleaning/ Heavy duty                                       ,0,0,1,0
 Scrub Sponge                  , Surface types       , Cast Iron (Cookware/Grills/etc                                   ,-0.057,0.075,0.446,-0.76
 Scrub Sponge                  , Surface types       , Everyday dishware & utensils                                     ,-0.039,0.069,0.57,-0.57
 Scrub Sponge                  , Surface types       , Glass (Cooktop                                                   ,0.114,0.076,0.135,1.5
 Scrub Sponge                  , Surface types       ," Non-Stick/Ceramic (Cookware, Dishware, etc                       ",-0.058,0.073,0.43,-0.79
 Scrub Sponge                  , Surface types       ," Plastic (Dishware, Utensils, etc                                 ",0,0,1,0
 Scrub Sponge                  , Surface types       ," Porcelain (Dishware, premium crockery, sink, etc                 ",0,0,1,0
 Scrub Sponge                  , Surface types       , Stainless Steel (Cooktop                                         ,0,0,1,0
 Scrub Sponge                  , Surface types       , Stainless Steel (Outdoor camping/BBQ                             ,-0.128,0.078,0.099,-1.65
 Scrub Sponge                  , Surface types       , Stainless Steel (Sink /Cookware                                  ,-0.183,0.076,0.016,-2.4
 Scrub Sponge                  , Surface types       , Suitable for use across most surface types                       ,0,0,1,0
 Scrub Sponge                  , Stain types         , Effective at removing different stuck on and oily stains         ,-0.046,0.061,0.451,-0.75
 Scrub Sponge                  , Stain types         , Good at removing heavy oil stains                                ,0,0,1,0
 Scrub Sponge                  , Stain types         , Good at removing light (non-oily                                 ,0,0,1,0
 Scrub Sponge                  , Stain types         , Good at removing light oil stains                                ,-0.09,0.067,0.179,-1.34
 Scrub Sponge                  , Stain types         , Good at removing sticky stains                                   ,0,0,1,0
 Scrub Sponge                  , Stain types         , Good at removing stubborn burnt stains                           ,0.056,0.078,0.475,0.71
 Scrub Sponge                  , Stain types         , Good at removing tea/coffee stains                               ,-0.034,0.062,0.582,-0.55
 Scrub Sponge                  , Benefit             , Antibacterial/Prevent bacterial growth                           ,0.091,0.083,0.277,1.09
 Scrub Sponge                  , Benefit             , Antimicrobial/Prevent mold & odor                                ,0.246,0.106,0.02,2.33
 Scrub Sponge                  , Benefit             , Durable/long lasting                                             ,0.235,0.108,0.03,2.16
 Scrub Sponge                  , Benefit             , Easy to grip                                                     ,0.109,0.079,0.167,1.38
 Scrub Sponge                  , Benefit             , Easy to reach and clean tight corners and grooves                ,0.139,0.079,0.077,1.77
 Scrub Sponge                  , Benefit             , Easy to rinse clean after use (food doesn't get stuck            ,0.032,0.078,0.684,0.41
 Scrub Sponge                  , Benefit             , Foam well with a small amount of detergent                       ,0,0,1,0
 Scrub Sponge                  , Benefit             , Stain resistant                                                  ,0.073,0.089,0.411,0.82
 Scrub Sponge                  , Benefit             , Will not scratch or damage cleaning surfaces                     ,0.278,0.103,0.007,2.7
 Scrub Sponge                  , Claim               , Convenient as no soap required (infused with  cleaning detergent ,-0.054,0.075,0.474,-0.72
 Scrub Sponge                  , Claim               , Create a shiny finish after use                                  ,-0.04,0.086,0.645,-0.46
 Scrub Sponge                  , Claim               , Eco-friendly/Good for the environment                            ,0.137,0.079,0.081,1.74
 Scrub Sponge                  , Claim               , Fun designs/ shapes to elevate your mood                         ,0.203,0.116,0.08,1.75
 Scrub Sponge                  , Claim               , Guarantee satisfaction after use                                 ,0,0,1,0
 Scrub Sponge                  , Claim               , Keeps your family safe                                           ,0.233,0.113,0.039,2.06
 Scrub Sponge                  , Claim               ," Make cleaning a breeze, saves time to do the things you love     ",0.003,0.08,0.972,0.03
 Scrub Sponge                  , Claim               , Scented (emits pleasant scent while cleaning                     ,0,0,1,0
 Scrub Sponge                  , Claim               , Transform cleaning into a fun experience with foamy bubble       ,-0.15,0.078,0.057,-1.91
 Scrub Sponge                  , Material            , 100% Recycled PET plastic                                        ,-0.051,0.091,0.575,-0.56
 Scrub Sponge                  , Material            , Flexible foam (texture changes with water temperature            ,-0.183,0.087,0.036,-2.1
 Scrub Sponge                  , Material            ," Man-made fibre (e.g., polyester                                  ",0,0,1,0
 Scrub Sponge                  , Material            , Melamine foam (magic eraser                                      ,-0.155,0.09,0.087,-1.71
 Scrub Sponge                  , Material            , Natural cellulose sponge                                         ,-0.136,0.091,0.135,-1.5
 Scrub Sponge                  , Material            , Natural coconut based fibre                                      ,-0.282,0.099,0.004,-2.85
 Scrub Sponge                  , Material            , Natural corn based fibre                                         ,-0.202,0.097,0.037,-2.09
 Scrub Sponge                  , Material            , Stay Fresh foam (foam that resist stains and odors               ,-0.027,0.084,0.75,-0.32
 Scrub Sponge                  , Price               ,                                                                  ,-0.101,0.03,0.001,-3.36
 Scrub Sponge                  , Color               , Beige/Brown                                                      ,0,0,1,0
 Scrub Sponge                  , Color               , Black                                                            ,-0.066,0.079,0.403,-0.84
 Scrub Sponge                  , Color               , Blue                                                             ,-0.091,0.081,0.258,-1.13
 Scrub Sponge                  , Color               , Dark Green                                                       ,0,0,1,0
 Scrub Sponge                  , Color               , Green                                                            ,0,0,1,0
 Scrub Sponge                  , Color               , Orange                                                           ,0.08,0.075,0.284,1.07
 Scrub Sponge                  , Color               , Pink                                                             ,-0.054,0.082,0.511,-0.66
 Scrub Sponge                  , Color               , Purple                                                           ,0,0,1,0
 Scrub Sponge                  , Color               , White                                                            ,-0.096,0.075,0.2,-1.28
 Scrub Sponge                  , Color               , Yellow                                                           ,0.155,0.08,0.051,1.95
 Scrub Sponge                  , Shape               , Flower                                                           ,0,0,1,0
 Scrub Sponge                  , Shape               , Leaf                                                             ,0,0,1,0
 Scrub Sponge                  , Shape               , Oval                                                             ,0.185,0.102,0.068,1.82
 Scrub Sponge                  , Shape               , Rectangle                                                        ,-0.13,0.082,0.111,-1.59
 Scrub Sponge                  , Shape               , Round                                                            ,0.039,0.072,0.591,0.54
 Scrub Sponge                  , Shape               , Smiley                                                           ,0.055,0.077,0.473,0.72
 Scrub Sponge                  , Shape               , Square                                                           ,0.052,0.074,0.479,0.71
 Scrub Sponge                  , Shape               , Tear drop                                                        ,0,0,1,0
 Scrub Sponge                  , Shape               , Wave                                                             ,0.083,0.073,0.254,1.14
 Sponge                        , Brand               , Byulpyo                                                          ,-0.102,0.088,0.245,-1.16
 Sponge                        , Brand               , Cleanwrap                                                        ,0,0,1,0
 Sponge                        , Brand               , Daiso                                                            ,0.071,0.086,0.408,0.83
 Sponge                        , Brand               , Frog                                                             ,-0.185,0.096,0.054,-1.93
 Sponge                        , Brand               , No Brand                                                         ,0,0,1,0
 Sponge                        , Brand               , Scotch-Brite by 3M                                               ,0.184,0.094,0.05,1.96
 Sponge                        , Brand               , Scott (Yuhan-Kimberly                                            ,0,0,1,0
 Sponge                        , Brand               , Spontex                                                          ,0,0,1,0
 Sponge                        , Cleaning strength   , Extra tough/ extra heavy duty                                    ,-0.087,0.066,0.189,-1.31
 Sponge                        , Cleaning strength   , Gentle/ delicate cleaning                                        ,0,0,1,0
 Sponge                        , Cleaning strength   , Tough Cleaning/ Heavy duty                                       ,-0.037,0.063,0.552,-0.59
 Sponge                        , Surface types       , Cast Iron (Cookware/Grills/etc                                   ,0,0,1,0
 Sponge                        , Surface types       , Everyday dishware & utensils                                     ,0,0,1,0
 Sponge                        , Surface types       , Glass (Cooktop                                                   ,0,0,1,0
 Sponge                        , Surface types       ," Non-Stick/Ceramic (Cookware, Dishware, etc                       ",0.152,0.092,0.098,1.65
 Sponge                        , Surface types       ," Plastic (Dishware, Utensils, etc                                 ",0.056,0.091,0.538,0.62
 Sponge                        , Surface types       ," Porcelain (Dishware, premium crockery, sink, etc                 ",0.07,0.099,0.48,0.71
 Sponge                        , Surface types       , Stainless Steel (Cooktop                                         ,0,0,1,0
 Sponge                        , Surface types       , Stainless Steel (Outdoor camping/BBQ                             ,0,0,1,0
 Sponge                        , Surface types       , Stainless Steel (Sink /Cookware                                  ,0,0,1,0
 Sponge                        , Surface types       , Suitable for use across most surface types                       ,0,0,1,0
 Sponge                        , Stain types         , Effective at removing different stuck on and oily stains         ,0,0,1,0
 Sponge                        , Stain types         , Good at removing heavy oil stains                                ,0.1,0.096,0.294,1.05
 Sponge                        , Stain types         , Good at removing light (non-oily                                 ,-0.144,0.084,0.086,-1.72
 Sponge                        , Stain types         , Good at removing light oil stains                                ,0,0,1,0
 Sponge                        , Stain types         , Good at removing sticky stains                                   ,-0.074,0.075,0.324,-0.99
 Sponge                        , Stain types         , Good at removing stubborn burnt stains                           ,-0.075,0.092,0.414,-0.82
 Sponge                        , Stain types         , Good at removing tea/coffee stains                               ,-0.167,0.084,0.047,-1.99
 Sponge                        , Benefit             , Antibacterial/Prevent bacterial growth                           ,-0.201,0.101,0.046,-2
 Sponge                        , Benefit             , Antimicrobial/Prevent mold & odor                                ,0,0,1,0
 Sponge                        , Benefit             , Durable/long lasting                                             ,-0.196,0.097,0.044,-2.02
 Sponge                        , Benefit             , Easy to grip                                                     ,-0.261,0.111,0.019,-2.35
 Sponge                        , Benefit             , Easy to reach and clean tight corners and grooves                ,0,0,1,0
 Sponge                        , Benefit             , Easy to rinse clean after use (food doesn't get stuck            ,-0.09,0.091,0.325,-0.98
 Sponge                        , Benefit             , Foam well with a small amount of detergent                       ,-0.152,0.101,0.133,-1.5
 Sponge                        , Benefit             , Stain resistant                                                  ,0,0,1,0
 Sponge                        , Benefit             , Will not scratch or damage cleaning surfaces                     ,0,0,1,0
 Sponge                        , Claim               , Convenient as no soap required (infused with  cleaning detergent ,-0.355,0.156,0.022,-2.29
 Sponge                        , Claim               , Create a shiny finish after use                                  ,-0.279,0.15,0.062,-1.87
 Sponge                        , Claim               , Eco-friendly/Good for the environment                            ,-0.055,0.134,0.679,-0.41
 Sponge                        , Claim               , Fun designs/ shapes to elevate your mood                         ,-0.134,0.138,0.329,-0.98
 Sponge                        , Claim               , Guarantee satisfaction after use                                 ,-0.095,0.136,0.485,-0.7
 Sponge                        , Claim               , Keeps your family safe                                           ,-0.178,0.132,0.178,-1.35
 Sponge                        , Claim               ," Make cleaning a breeze, saves time to do the things you love     ",-0.24,0.149,0.107,-1.61
 Sponge                        , Claim               , Scented (emits pleasant scent while cleaning                     ,-0.326,0.151,0.031,-2.16
 Sponge                        , Claim               , Transform cleaning into a fun experience with foamy bubble       ,-0.279,0.145,0.054,-1.93
 Sponge                        , Material            , 100% Recycled PET plastic                                        ,0,0,1,0
 Sponge                        , Material            , Flexible foam (texture changes with water temperature            ,0.154,0.103,0.133,1.5
 Sponge                        , Material            ," Man-made fibre (e.g., polyester                                  ",0.096,0.085,0.255,1.14
 Sponge                        , Material            , Melamine foam (magic eraser                                      ,-0.089,0.086,0.303,-1.03
 Sponge                        , Material            , Natural cellulose sponge                                         ,0.154,0.099,0.12,1.55
 Sponge                        , Material            , Natural coconut based fibre                                      ,0,0,1,0
 Sponge                        , Material            , Natural corn based fibre                                         ,0,0,1,0
 Sponge                        , Material            , Stay Fresh foam (foam that resist stains and odors               ,0.2,0.1,0.046,2
 Sponge                        , Price               ,                                                                  ,-0.111,0.04,0.006,-2.76
 Sponge                        , Color               , Beige/Brown                                                      ,0,0,1,0
 Sponge                        , Color               , Black                                                            ,0.095,0.094,0.313,1.01
 Sponge                        , Color               , Blue                                                             ,0,0,1,0
 Sponge                        , Color               , Dark Green                                                       ,-0.069,0.098,0.482,-0.7
 Sponge                        , Color               , Green                                                            ,0.05,0.089,0.573,0.56
 Sponge                        , Color               , Orange                                                           ,0,0,1,0
 Sponge                        , Color               , Pink                                                             ,0,0,1,0
 Sponge                        , Color               , Purple                                                           ,0.085,0.085,0.316,1
 Sponge                        , Color               , White                                                            ,-0.041,0.094,0.664,-0.43
 Sponge                        , Color               , Yellow                                                           ,0,0,1,0
 Sponge                        , Shape               , Flower                                                           ,-0.209,0.116,0.071,-1.81
 Sponge                        , Shape               , Leaf                                                             ,0,0,1,0
 Sponge                        , Shape               , Oval                                                             ,-0.053,0.111,0.634,-0.48
 Sponge                        , Shape               , Rectangle                                                        ,-0.159,0.116,0.172,-1.37
 Sponge                        , Shape               , Round                                                            ,-0.075,0.114,0.51,-0.66
 Sponge                        , Shape               , Smiley                                                           ,-0.247,0.116,0.033,-2.13
 Sponge                        , Shape               , Square                                                           ,-0.079,0.112,0.483,-0.7
 Sponge                        , Shape               , Tear drop                                                        ,-0.278,0.122,0.023,-2.28
 Sponge                        , Shape               , Wave                                                             ,-0.167,0.104,0.108,-1.61
 Acrylic scourer               , Gender              , Male                                                             ,-0.181,0.057,0.002,-3.17
 Acrylic scourer               , Income              ," 6,000,000 KRW – 6,999,999 KRW                                    ",-0.033,0.096,0.732,-0.34
 Acrylic scourer               , Income              ," 4,000,000 KRW – 4,999,999 KRW                                    ",0.024,0.093,0.792,0.26
 Acrylic scourer               , Income              ," 7,000,000 KRW – 7,999,999 KRW                                    ",0.021,0.096,0.83,0.22
 Acrylic scourer               , Income              ," 8,000,000 KRW – 8,999,999 KRW                                    ",-0.149,0.096,0.122,-1.55
 Acrylic scourer               , Income              ," 5,000,000 KRW – 5,999,999 KRW                                    ",-0.12,0.086,0.161,-1.4
 Acrylic scourer               , Income              ," 2,000,000 KRW – 2,999,999 KRW                                    ",0.029,0.079,0.716,0.36
 Acrylic scourer               , Income              ," 9,000,000 KRW – 9,999,999 KRW                                    ",-0.028,0.112,0.8,-0.25
 Acrylic scourer               , Income              ," 10,000,000 KRW and above                                         ",-0.131,0.108,0.227,-1.21
 Acrylic scourer               , Decision_Maker      , I sometimes decide                                               ,0.11,0.136,0.418,0.81
 Acrylic scourer               , Brand often brought , 3M                                                               ,0.013,0.136,0.925,0.09
 Acrylic scourer               , Brand often brought , Scotch-Brite by 3M                                               ,0.044,0.127,0.726,0.35
 Acrylic scourer               , Brand often brought , Cleanwrap                                                        ,0.013,0.172,0.94,0.08
 Acrylic scourer               , Brand often brought , Daiso                                                            ,0.096,0.13,0.458,0.74
 Acrylic scourer               , Brand often brought , Kitchen-Art                                                      ,-0.175,0.192,0.363,-0.91
 Acrylic scourer               , Brand often brought , Scrub daddy                                                      ,0.018,0.157,0.91,0.11
 Acrylic scourer               , Brand often brought , No Brand                                                         ,0.084,0.185,0.651,0.45
 Acrylic scourer               , Brand often brought , Komax                                                            ,-0.006,0.206,0.977,-0.03
 Acrylic scourer               , Brand often brought , Atomi                                                            ,0.079,0.194,0.684,0.41
 Acrylic scourer               , Brand often brought , Trista (formerly Byulpyo                                         ,0.06,0.204,0.768,0.3
 Acrylic scourer               , Brand often brought , Scott (Yuhan-Kimberly                                            ,0.007,0.164,0.966,0.04
 Acrylic scourer               , Brand often brought , HomePlus PB                                                      ,-0.045,0.215,0.834,-0.21
 Acrylic scourer               , Brand often brought , Amway                                                            ,-0.233,0.163,0.153,-1.43
 Acrylic scourer               , Brand often brought , Spontex                                                          ,-0.119,0.179,0.505,-0.67
 Acrylic scourer               , Brand often brought , HankookTamina                                                    ,-0.141,0.28,0.615,-0.5
 Acrylic scourer               , Brand often brought , Loving Home(Emart PB                                             ,0.301,0.266,0.258,1.13
 Acrylic scourer               , Brand often brought , Frog                                                             ,0.439,0.251,0.08,1.75
 Acrylic scourer               , Brand often brought , Svinto                                                           ,-0.432,0.222,0.052,-1.95
 Acrylic scourer               , Brand often brought , Lotte e-life                                                     ,0.212,0.242,0.381,0.88
 Acrylic scourer               , Brand often brought , LotteAluminum                                                    ,0.023,0.278,0.934,0.08
 Acrylic scourer               , Brand often brought , Wisewipe                                                         ,-0.009,0.272,0.974,-0.03
 Acrylic scourer               , Brand often brought , Dearcus                                                          ,-0.207,0.273,0.449,-0.76
 Acrylic scourer               , Brand often brought , Skrubba                                                          ,0.187,0.225,0.406,0.83
 Bottle cleaner with handle    , Gender              , Male                                                             ,-0.13,0.06,0.03,-2.17
 Bottle cleaner with handle    , Income              ," 6,000,000 KRW – 6,999,999 KRW                                    ",0.045,0.094,0.633,0.48
 Bottle cleaner with handle    , Income              ," 4,000,000 KRW – 4,999,999 KRW                                    ",-0.039,0.091,0.67,-0.43
 Bottle cleaner with handle    , Income              ," 7,000,000 KRW – 7,999,999 KRW                                    ",-0.33,0.119,0.005,-2.78
 Bottle cleaner with handle    , Income              ," 8,000,000 KRW – 8,999,999 KRW                                    ",-0.018,0.093,0.844,-0.2
 Bottle cleaner with handle    , Income              ," 5,000,000 KRW – 5,999,999 KRW                                    ",-0.177,0.091,0.053,-1.93
 Bottle cleaner with handle    , Income              ," 2,000,000 KRW – 2,999,999 KRW                                    ",-0.019,0.081,0.813,-0.24
 Bottle cleaner with handle    , Income              ," 9,000,000 KRW – 9,999,999 KRW                                    ",0.007,0.112,0.947,0.07
 Bottle cleaner with handle    , Income              ," 10,000,000 KRW and above                                         ",-0.049,0.102,0.635,-0.47
 Bottle cleaner with handle    , Decision_Maker      , I sometimes decide                                               ,-0.199,0.164,0.225,-1.21
 Bottle cleaner with handle    , Brand often brought , 3M                                                               ,0.196,0.14,0.161,1.4
 Bottle cleaner with handle    , Brand often brought , Scotch-Brite by 3M                                               ,-0.008,0.129,0.948,-0.07
 Bottle cleaner with handle    , Brand often brought , Cleanwrap                                                        ,0.023,0.171,0.891,0.14
 Bottle cleaner with handle    , Brand often brought , Daiso                                                            ,0.016,0.133,0.902,0.12
 Bottle cleaner with handle    , Brand often brought , Kitchen-Art                                                      ,0.176,0.198,0.372,0.89
 Bottle cleaner with handle    , Brand often brought , Scrub daddy                                                      ,0.239,0.175,0.171,1.37
 Bottle cleaner with handle    , Brand often brought , No Brand                                                         ,0.149,0.184,0.416,0.81
 Bottle cleaner with handle    , Brand often brought , Komax                                                            ,0.117,0.231,0.611,0.51
 Bottle cleaner with handle    , Brand often brought , Atomi                                                            ,0.208,0.184,0.258,1.13
 Bottle cleaner with handle    , Brand often brought , Trista (formerly Byulpyo                                         ,0.093,0.214,0.663,0.44
 Bottle cleaner with handle    , Brand often brought , Scott (Yuhan-Kimberly                                            ,0.253,0.167,0.13,1.51
 Bottle cleaner with handle    , Brand often brought , HomePlus PB                                                      ,0.14,0.198,0.479,0.71
 Bottle cleaner with handle    , Brand often brought , Amway                                                            ,-0.005,0.164,0.978,-0.03
 Bottle cleaner with handle    , Brand often brought , Spontex                                                          ,0.106,0.181,0.559,0.58
 Bottle cleaner with handle    , Brand often brought , HankookTamina                                                    ,0.063,0.285,0.825,0.22
 Bottle cleaner with handle    , Brand often brought , Loving Home(Emart PB                                             ,0.334,0.258,0.196,1.29
 Bottle cleaner with handle    , Brand often brought , Frog                                                             ,-0.214,0.303,0.481,-0.71
 Bottle cleaner with handle    , Brand often brought , Svinto                                                           ,0.023,0.208,0.911,0.11
 Bottle cleaner with handle    , Brand often brought , Lotte e-life                                                     ,0.039,0.217,0.857,0.18
 Bottle cleaner with handle    , Brand often brought , LotteAluminum                                                    ,0.223,0.26,0.391,0.86
 Bottle cleaner with handle    , Brand often brought , Wisewipe                                                         ,-0.174,0.252,0.491,-0.69
 Bottle cleaner with handle    , Brand often brought , Dearcus                                                          ,-0.051,0.261,0.846,-0.19
 Bottle cleaner with handle    , Brand often brought , Skrubba                                                          ,0.139,0.235,0.553,0.59
 Disposable Sheet              , Gender              , Male                                                             ,-0.254,0.085,0.003,-3.01
 Disposable Sheet              , Income              ," 6,000,000 KRW – 6,999,999 KRW                                    ",-0.059,0.127,0.644,-0.46
 Disposable Sheet              , Income              ," 4,000,000 KRW – 4,999,999 KRW                                    ",-0.12,0.13,0.356,-0.92
